    Tlag_pop;   1.00000;   0.13724;   0.07009;   0.00676;   0.04030;   0.00427;  -0.00685;  -0.00757;   0.13809;   0.14431;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
      ka_pop;   0.13724;   1.00000;  -0.00801;  -0.01683;  -0.01860;  -0.00322;   0.00543;   0.00326;  -0.00004;  -0.00237;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
       V_pop;   0.07009;  -0.00801;   1.00000;   0.11523;   0.00786;   0.00059;  -0.02400;   0.00448;   0.07805;   0.07686;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
 beta_V_lw70;   0.00676;  -0.01683;   0.11523;   1.00000;   0.00093;   0.00406;   0.00305;   0.00132;  -0.00786;  -0.00693;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
      Cl_pop;   0.04030;  -0.01860;   0.00786;   0.00093;   1.00000;   0.08961;   0.03493;  -0.00724;  -0.02602;  -0.02452;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
beta_Cl_lw70;   0.00427;  -0.00322;   0.00059;   0.00406;   0.08961;   1.00000;  -0.00685;  -0.00179;   0.00697;   0.00611;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
    Imax_pop;  -0.00685;   0.00543;  -0.02400;   0.00305;   0.03493;  -0.00685;   1.00000;   0.24988;  -0.38358;  -0.44544;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
    IC50_pop;  -0.00757;   0.00326;   0.00448;   0.00132;  -0.00724;  -0.00179;   0.24988;   1.00000;  -0.10471;  -0.09764;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
     kin_pop;   0.13809;  -0.00004;   0.07805;  -0.00786;  -0.02602;   0.00697;  -0.38358;  -0.10471;   1.00000;   0.93147;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
    kout_pop;   0.14431;  -0.00237;   0.07686;  -0.00693;  -0.02452;   0.00611;  -0.44544;  -0.09764;   0.93147;   1.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
  omega_Tlag;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   1.00000;  -0.03609;  -0.00102;  -0.00116;  -0.00081;   0.00018;   0.00557;  -0.00562;   0.00009;  -0.00966;  -0.00782
    omega_ka;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;  -0.03609;   1.00000;  -0.00121;  -0.00069;  -0.00085;   0.00006;   0.00270;  -0.00255;   0.01269;  -0.02407;  -0.00562
     omega_V;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;  -0.00102;  -0.00121;   1.00000;   0.00051;  -0.00127;   0.00028;   0.00069;  -0.00049;   0.01063;  -0.06164;  -0.00498
    omega_Cl;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;  -0.00116;  -0.00069;   0.00051;   1.00000;  -0.00210;  -0.00014;  -0.00047;   0.00046;  -0.00842;   0.00007;  -0.00027
