id,time,y2
1,2,78.829
1,8,68.063
1,14,83.363
1,20,73.207
1,26,84.339
1,32,71.54
1,38,85.119
1,44,75.774
1,50,83.968
2,2,71.526
2,8,59.923
2,14,77.994
2,20,67.58
2,26,79.149
2,32,69.542
2,38,79.627
2,44,69.041
2,50,79.861
3,2,73.501
3,8,62.29
3,14,79.809
3,20,68.167
3,26,81.709
3,32,70.769
3,38,80.554
3,44,69.415
3,50,81.132
4,2,66.484
4,8,54.223
4,14,74.387
4,20,61.528
4,26,74.157
4,32,66.355
4,38,76.44
4,44,64.189
4,50,75.591
5,2,74.08
5,8,62.757
5,14,78.315
5,20,68.424
5,26,80.798
5,32,71.082
5,38,81.48
5,44,71.867
5,50,81.884
