    Tlag_pop;   1.00000;   0.12010;   0.06266;   0.00675;   0.03560;   0.00455;  -0.04902;  -0.01184;   0.12909;   0.13965;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
      ka_pop;   0.12010;   1.00000;  -0.02357;  -0.01533;  -0.03093;  -0.00501;   0.02730;  -0.01034;  -0.01724;  -0.02194;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
       V_pop;   0.06266;  -0.02357;   1.00000;   0.11515;   0.15868;   0.01430;  -0.09236;  -0.00373;   0.09561;   0.09866;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
 beta_V_lw70;   0.00675;  -0.01533;   0.11515;   1.00000;   0.01501;   0.16206;  -0.04331;  -0.00824;   0.00575;   0.00748;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
      Cl_pop;   0.03560;  -0.03093;   0.15868;   0.01501;   1.00000;   0.08875;   0.01155;  -0.01161;  -0.02291;  -0.02040;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
beta_Cl_lw70;   0.00455;  -0.00501;   0.01430;   0.16206;   0.08875;   1.00000;   0.00426;   0.00643;   0.00459;   0.00534;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
    Imax_pop;  -0.04902;   0.02730;  -0.09236;  -0.04331;   0.01155;   0.00426;   1.00000;   0.14292;  -0.41806;  -0.46249;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
    IC50_pop;  -0.01184;  -0.01034;  -0.00373;  -0.00824;  -0.01161;   0.00643;   0.14292;   1.00000;  -0.05017;  -0.03588;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
     Rin_pop;   0.12909;  -0.01724;   0.09561;   0.00575;  -0.02291;   0.00459;  -0.41806;  -0.05017;   1.00000;   0.94475;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
    kout_pop;   0.13965;  -0.02194;   0.09866;   0.00748;  -0.02040;   0.00534;  -0.46249;  -0.03588;   0.94475;   1.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
