    Tlag_pop; 0.0657737447; 0.0073184233; 0.0004516207; 0.0002482604; 0.0004321698; 0.0002930397;-0.0019468703;-0.0002798797; 0.0011424479; 0.0011635088; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000000000; 0.0000000000
      ka_pop; 0.0073184233; 0.0564553427;-0.0001573614;-0.0005227048;-0.0003478404;-0.0002989035; 0.0010044098;-0.0002265403;-0.0001413524;-0.0001693252; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000000000; 0.0000000000
       V_pop; 0.0004516207;-0.0001573614; 0.0007898713; 0.0004643976; 0.0002110963; 0.0001009389;-0.0004019633;-0.0000096758; 0.0000927217; 0.0000900801; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000000000; 0.0000000000
 beta_V_lw70; 0.0002482604;-0.0005227048; 0.0004643976; 0.0205917684; 0.0001019630; 0.0058425316;-0.0009625341;-0.0001089665; 0.0000284784; 0.0000348810; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000000000; 0.0000000000
      Cl_pop; 0.0004321698;-0.0003478404; 0.0002110963; 0.0001019630; 0.0022406560; 0.0010554509; 0.0000846365;-0.0000506847;-0.0000374201;-0.0000313682; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000000000; 0.0000000000
beta_Cl_lw70; 0.0002930397;-0.0002989035; 0.0001009389; 0.0058425316; 0.0010554509; 0.0631195128; 0.0001657933; 0.0001489689; 0.0000398096; 0.0000435445; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000000000; 0.0000000000
    Imax_pop;-0.0019468703; 0.0010044098;-0.0004019633;-0.0009625341; 0.0000846365; 0.0001657933; 0.0239812094; 0.0020404310;-0.0022340512;-0.0023267779; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000000000; 0.0000000000
    IC50_pop;-0.0002798797;-0.0002265403;-0.0000096758;-0.0001089665;-0.0000506847; 0.0001489689; 0.0020404310; 0.0084993394;-0.0001596013;-0.0001074591; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000000000; 0.0000000000
     Rin_pop; 0.0011424479;-0.0001413524; 0.0000927217; 0.0000284784;-0.0000374201; 0.0000398096;-0.0022340512;-0.0001596013; 0.0011908106; 0.0010591355; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000000000; 0.0000000000
    kout_pop; 0.0011635088;-0.0001693252; 0.0000900801; 0.0000348810;-0.0000313682; 0.0000435445;-0.0023267779;-0.0001074591; 0.0010591355; 0.0010554311; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000000000; 0.0000000000
  omega_Tlag; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0375182408;-0.0009558925;-0.0000037997;-0.0000065954;-0.0000434947; 0.0000024113; 0.0000330367;-0.0000372626; 0.0000432595;-0.0000286745;-0.0002928469;-0.0000588697
    omega_ka; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0009558925; 0.0321545382;-0.0000053385;-0.0000074079;-0.0000536812;-0.0000416031; 0.0000109295;-0.0000108822; 0.0001277423;-0.0000474482;-0.0003105530;-0.0000574741
     omega_V; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000037997;-0.0000053385; 0.0004795394; 0.0000195035;-0.0000735594; 0.0000005508;-0.0000001792; 0.0000002837; 0.0000084007;-0.0000109472;-0.0000189157; 0.0003853462
    omega_Cl; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0000065954;-0.0000074079; 0.0000195035; 0.0011477636;-0.0000033661;-0.0000005896;-0.0000001982; 0.0000002121;-0.0000134386; 0.0000001251;-0.0000067844; 0.0007480174
